ID,Program,Degree,Concentration,Requirements
25,ENVCHM,"Chemistry, B.S.",Environmental Chemistry,"1,- One General Education Social Science course must be at least 2000-level.,2,- Environmental Electives:,ENVS 4004,,,ENVS 4007,,,ENVS 4010,,,ENVS 4015,,,ENVS 4035,,,ENVS 4045,,,ENVS 4102,,,ENVS 4113,,,ENVS 4145,,,ENVS 4149,,,ENVS 4261,,,ENVS 4262,,,ENVS 4264,,,ENVS 4266,,,ENVS 4268,,,ENVS 4450,,,ENVS 4477,,,ENVS 4500,,,ENVS 4600,,,ENVS 4900,.,3,- Two semester hours in,CHEM 3900,in an approved environmental chemistry project."
26,CHMFOR,"Chemistry, B.S.",Forensic Chemistry,"1,- One General Education Social Science course must be at least 2000-level.,2,- Two semester hours of,CHEM 3900,in an approved chemistry project.,3,- Chemistry Electives:,CHEM 4150,,,CHEM 4556,,,CHEM 4557,,,CHEM 4558,,,CHEM 4559,,,CHEM 4563,,,CHEM 4565,.,4,- Forensic Electives:,ANTH 2014,ANTH 3014,ANTH 4014,;,SOCL 3371,,,SOCL 3501,,,SOCL 3510,,,SOCL 4461,,,SOCL 4462,,,SOCL 4463,,,SOCL 4464,,,SOCL 4465,,,SOCL 4466,,,SOCL 4467,,,SOCL 4468,,,SOCL 4469,,,SOCL 4471,."
27,CHMPLY,"Chemistry, B.S.",Polymers,"1,- One General Education Social Science course must be at least 2000-level.,2,- Two semester hours of,CHEM 3900,in an approved materials chemistry research project.,3,- Chemistry Electives:,CHEM 4150,,,CHEM 4160,,,CHEM 4556,,,CHEM 4557,,,CHEM 4558,,,CHEM 4559,,,CHEM 4561,,,CHEM 4562,,,CHEM 4563,,,CHEM 4565,,,CHEM 4570,,,CHEM 4571,,,CHEM 4581,,,CHEM 4594,,,CHEM 4596,,,CHEM 4597,."
28,CHMPHA,"Chemistry, B.S.",Pre-Health,"1,- Suggested Free Electives:,BIOL 3040,,,BIOL 3090,,,BIOL 3152,,,BIOL 3156,,,BIOL 4105,,,BIOL 4106,,,BIOL 4123,,,BIOL 4132,,,BIOL 4154,,,BIOL 4158,,,BIOL 4160,,,BIOL 4161,,,BIOL 4177,,,BIOL 4190,,,BIOL 4215,,,BIOL 4246,,,BIOL 4400,,,BIOL 4450,,,BIOL 4753,;,CMST 2010,,,CMST 2060,,,CMST 4112,;,KIN 2500,;,NFS 1110,,,NFS 2112,;,PHIL 2018,,,PHIL 2025,;,PSYC 4035,,,PSYC 4037,;,SOCL 4451,."
29,CHEMSE,"Chemistry, B.S.",Secondary Education - Chemistry,
30,,"Biological Sciences, B.S.",Areas of Concentration,"1,- Option: Complete foreign language requirement (shown in Semester 3 and 4) in Semesters 1 and 2 if continuing in the language studied in high school.,2,- Option:,BIOL 4087,and,BIOL 4093,and,BIOL 4094,in consecutive semesters. If a student takes,BIOL 4093,and,BIOL 4094,two hours will apply towards the approved free electives.,3,- See list and requirements for biological sciences electives,here,.,4,- Choose five to six hours from the following:,BIOL 3999,,,BIOL 4020,,,BIOL 4090,,,BIOL 4145,,,BIOL 4154,,,BIOL 4155,,,BIOL 4253,,,BIOL 4254,,,BIOL 4263,,,BIOL 4308,,,OCS 4007,,,OCS 4550,,,OCS 4570,."
31,,"Biological Sciences, B.S.",Areas of Concentration,"1,- Option: Complete foreign language requirement (shown in Semester 3 and 4) in Semesters 1 and 2 if continuing in the language studied in high school.,2,- Option:,BIOL 4087,and,BIOL 4093,and,BIOL 4094,in consecutive semesters. If a student takes,BIOL 4093,and,BIOL 4094,two hours will apply towards the approved free electives.,3,- See list and requirements for biological sciences electives,here,.,4,- Choose five to six hours from the following:,BIOL 3999,,,BIOL 4020,,,BIOL 4090,,,BIOL 4145,,,BIOL 4154,,,BIOL 4155,,,BIOL 4253,,,BIOL 4254,,,BIOL 4263,,,BIOL 4308,,,OCS 4007,,,OCS 4550,,,OCS 4570,.,1,- Option: Begin foreign language requirement (shown in Semesters 3 and 4) in Semester 1 and 2 if continuing in the language studied in high school.,2,- See list and requirements for Biological Science electives,here,.,3,- Students who have taken both,BIOL 4093,and,BIOL 4094,may substitute these courses for,BIOL 4087,.,4,- Students who do not take,SCI 2010,and,SCI 2011,are recommended to take,SCI 2012,by their third semester. Credit will not be given for,SCI 2012,if credit has been earned in,SCI 2010,and,SCI 2011,.,NOTE:,Students must see an advisor in their sophomore year.,EDCI 2500,will count as one of the general education social science courses. Students should plan their course work so that last semester of the senior year can accommodate the 12 hours that are required to be taken concurrently (,EDCI 4006,and,EDCI 3136,)."
32,AADMIN,"Theatre, B.A.",Arts Administration,"1,- If the two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Select from:,THTR 2020,,,THTR 2023,,,THTR 2024,,,THTR 2135,,,THTR 2140,,,THTR 2830,,,THTR 3123,,,THTR 3125,,,THTR 3126,,,THTR 3435,,,THTR 3530,,,THTR 3531,,,THTR 4820,,,THTR 4831,,,THTR 4832,, or,THTR 4902,.,3,- Select from:,THTR 2020,,,THTR 2023,,,THTR 2024,,,THTR 2135,,,THTR 2140,,,THTR 2830,,,THTR 3123,,,THTR 3125,,,THTR 3126,,,THTR 3435,,,THTR 3530,,,THTR 3531,,,THTR 4023,,,THTR 4123,,,THTR 4124,,,THTR 4128,,,THTR 4132,,,THTR 4435,,,THTR 4530,,,THTR 4531,,,THTR 4540,,,THTR 4541,,,THTR 4820,,,THTR 4831,,,THTR 4832,,,THTR 4901,, or,THTR 4902,.,4,- Not,THTR 1020,,,THTR 1021,,,THTR 2028,, or,THTR 2128,.,5,- Select from:,THTR 4021,,,THTR 4130,,,THTR 4131,,,THTR 4220,, or,THTR 4436,.,6,- Theatre (THTR) General Education courses can not be used to fulfill this requirement."
33,TD&T,"Theatre, B.A.",Design/Technology,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Select from:,THTR 2020,,,THTR 2023,,,THTR 2135,,,THTR 2140,,,THTR 2830,,,THTR 3123,,,THTR 3126,,,THTR 3435,,,THTR 3530,, OR,THTR 3531,.,3,- Select from:,THTR 2020,,,THTR 2023,,,THTR 2135,,,THTR 2140,,,THTR 2830,,,THTR 3123,,,THTR 3126,,,THTR 3435,,,THTR 3530,,,THTR 3531,,,THTR 4123,,,THTR 4124,,,THTR 4530,, or,THTR 4531,.,4,- Select from,THTR 4123,,,THTR 4124,,,THTR 4530,, or,THTR 4531,5,- Select from:,THTR 4023,,,THTR 4128,,,THTR 4132,,,THTR 4435,,,THTR 4436,,,THTR 4540,,,THTR 4541,,,THTR 4820,,,THTR 4831,,,THTR 4832,,,THTR 4901,, or,THTR 4902,.,6,- Not,THTR 1020,,,THTR 1021,,,THTR 2028,, or,THTR 2128,.,7,- THTR LITERATURE COURSE: Select from:,THTR 4021,,,THTR 4130,,,THTR 4131,,,THTR 4220,, or,THTR 4436,.,8,- Theatre (THTR) General Education courses can not be used to fulfill this requirement."
34,PERF,"Theatre, B.A.",Performance,"1,- Select from:,THTR 2020,,,THTR 2023,,,THTR 2024,,,THTR 2135,,,THTR 2140,,,THTR 2830,,,THTR 3123,,,THTR 3125,,,THTR 3126,,,THTR 3435,,,THTR 3530,,,THTR 3531,,,THTR 4820,,,THTR 4831,,,THTR 4832,, or,THTR 4902,.,2,- Select from:,THTR 2020,,,THTR 2023,,,THTR 2024,,,THTR 2135,,,THTR 2140,,,THTR 2830,,,THTR 3123,,,THTR 3125,,,THTR 3126,,,THTR 3435,,,THTR 3530,,,THTR 3531,,,THTR 4023,,,THTR 4123,,,THTR 4124,,,THTR 4128,,,THTR 4132,,,THTR 4435,,,THTR 4530,,,THTR 4531,,,THTR 4540,,,THTR 4541,,,THTR 4820,,,THTR 4831,,,THTR 4832,,,THTR 4901,, or,THTR 4902,.,3,- Not,THTR 1020,,,THTR 1021,,,THTR 2028,, or,THTR 2128,.,4,- THTR LITERATURE COURSE: Select from:,THTR 4021,,,THTR 4130,,,THTR 4131,,,THTR 4220,, or,THTR 4436,.,5,- Select from:,THTR 1127,,,THTR 1131,,,THTR 1153,,,THTR 1227,,,THTR 1231,,,THTR 1253,,,THTR 2031,,,THTR 3026,,,THTR 3027,,,THTR 3028,,,THTR 3029,,,THTR 3803,,,THTR 3900,(approved topic),,THTR 4025,,,THTR 4026,,,THTR 4027,,,THTR 4031,No more than 3 credits from the following courses can be used to fulfill this requirement:,THTR 1127,,,THTR 1131,,,THTR 1153,,,THTR 1227,,,THTR 1231,,,THTR 1253,,,THTR 2031,,,THTR 4031,6 - If the two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa."
35,PHYTH,"Theatre, B.A.",Physical Theatre,"1,- Select from:,THTR 1127,,,THTR 1131,,,THTR 1153,,,THTR 1227,,,THTR 1231,,,THTR 1253,,,THTR 2031,, or,THTR 4031,.,2,- Select from:,THTR 2025,,,THTR 2032,,,THTR 3800,,,THTR 4029,,,THTR 4032,,,THTR 4033,, or,THTR 3802,.,3,- Not,THTR 1020,,,THTR 1021,,,THTR 2028,, or,THTR 2128,.,4,- THTR LITERATURE COURSE: Select from:,THTR 4021,,,THTR 4130,,,THTR 4131,,,THTR 4220,, or,THTR 4436,.,5,-,THTR 1029,(offered in fall semester);,THTR 3029,(offered in spring semesters).,6,- Select from,THTR 2020,,,THTR 2023,,,THTR 2024,,,THTR 2135,,,THTR 2140,,,THTR 2830,,,THTR 3123,,,THTR 3125,,,THTR 3126,,,THTR 3435,,,THTR 3530,,,THTR 3531,,,THTR 4820,,,THTR 4831,,,THTR 4832,, or,THTR 4902,.,7,- Select from,THTR 2020,,,THTR 2023,,,THTR 2024,,,THTR 2135,,,THTR 2140,,,THTR 2830,,,THTR 3123,,,THTR 3125,,,THTR 3126,,,THTR 3435,,,THTR 3530,,,THTR 3531,,,THTR 4023,,,THTR 4123,,,THTR 4124,,,THTR 4128,,,THTR 4132,,,THTR 4435,,,THTR 4530,,,THTR 4531,,,THTR 4540,,,THTR 4541,,,THTR 4820,,,THTR 4831,,,THTR 4832,,,THTR 4901,, or,THTR 4902,.,8,- If the two-course sequence is taken in the physical science, the additional three-hour course must be taken from the life sciences, and vice versa."
36,THTRST,"Theatre, B.A.",Theatre Studies,"1,- If two course sequence is taken in the physical science, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Select from:,THTR 2020,,,THTR 2023,,,THTR 2024,,,THTR 2135,,,THTR 2140,,,THTR 2830,,,THTR 3123,,,THTR 3125,,,THTR 3126,,,THTR 3435,,,THTR 3530,,,THTR 3531,,,THTR 4820,,,THTR 4831,,,THTR 4832,, or,THTR 4902,.,3,- Select from:,THTR 2008,or,THTR 4008,,,THTR 4021,,,THTR 4130,,,THTR 4131,,,THTR 4220,, or,THTR 4436,. (Cannot repeat a course already used to fulfill the B.A. Theatre literature requirement).,4,- Select from:,THTR 2020,,,THTR 2023,,,THTR 2024,,,THTR 2135,,,THTR 2140,,,THTR 2830,,,THTR 3123,,,THTR 3125,,,THTR 3126,,,THTR 3435,,,THTR 3530,,,THTR 3531,,,THTR 4023,,,THTR 4123,,,THTR 4124,,,THTR 4128,,,THTR 4132,,,THTR 4435,,,THTR 4530,,,THTR 4531,,,THTR 4540,,,THTR 4541,,,THTR 4820,,,THTR 4831,,,THTR 4832,,,THTR 4901,, or,THTR 4902,.,5,- Approved Theatre Course: Choose any combination of theatre courses. Not,THTR 1020,,,THTR 1021,,,THTR 2028,, or,THTR 2128,.,6,- THTR LITERATURE COURSE:Select from:,THTR 4021,,,THTR 4130,,,THTR 4131,,,THTR 4220,, or,THTR 4436,.,7,- APPROVED ELECTIVES:Not,THTR 1020,,,THTR 1021,,,THTR 2028,, or,THTR 2128,."
37,,"Music, B.M.",Brass/Woodwind/Percussion,"1,- Choose from the following:,MUS 4250,,,MUS 4251,,,MUS 4252,,,MUS 4253,(maximum two credit hours),,MUS 4254,, or,MUS 4261,.,2,- If credit has been earned in,ENGL 1001,and/or,MATH 1021,/,MATH 1029,, General Education Course(s) should be taken in lieu of,ENGL 1001,and/or,MATH 1021,/,MATH 1029,.,3,- If choosing the Woodwind concentration, one must take,MUS 4126,and,MUS 4173,."
38,COMP,"Music, B.M.",Composition,"1,- Choose from the following:,MUS 4232,,,MUS 4233,,,MUS 4234,,,MUS 4235,,,MUS 4236,,,MUS 4251,,,MUS 4252,,,MUS 4253,(maximum two credit hours),,MUS 4254,, or,MUS 4261,.,2,- If credit has been earned in,ENGL 1001,and/or,MATH 1021,/,MATH 1029,, General Education Course(s) should be taken in lieu of,ENGL 1001,and/or,MATH 1021,/,MATH 1029,.,3,- In the senior year,,MUS 3153,, Applied Electroacoustic, may be substituted for one semester of,MUS 3151,, Primary Composition.,4,– Piano proficiency at the level of completion of,MUS 1133,required for Composition majors."
39,PIAPD,"Music, B.M.",Piano Pedagogy,"Other Requirements,: Solo performances on at least two student recital hour programs or their equivalent during the period of undergraduate study. The senior recital may be a joint recital.,Electives,: May not choose from,MUS 1010,, 1100-level,,MUS 1751,, or,MUS 1799,.,1,- If credit has been earned in,ENGL 1001,and/or,MATH 1021,/,MATH 1029,, General Education Course(s) should be taken in lieu of,ENGL 1001,and/or,MATH 1021,/,MATH 1029,.,2,-,MUS 4101,,,MUS 4220,, and,MUS 4224,may be used to satisfy four hours of the major ensemble requirement.,3,-,MUS 4757,,,MUS 4758,&,MUS 4763,,,MUS 4764,are offered in alternating years; please consult the department for course availability."
40,PIAPE,"Music, B.M.",Piano Performance,"1,- If credit has been earned in,ENGL 1001,and/or,MATH 1021,/,MATH 1029,, General Education Course(s) should be taken in lieu of,ENGL 1001,and/or,MATH 1021,/,MATH 1029,.,2,- Choose from the following:,MUS 4101,,,MUS 4220,,,MUS 4224,,,MUS 4232,,,MUS 4233,,,MUS 4234,,,MUS 4235,,,MUS 4236,,,MUS 4251,,,MUS 4252,,,MUS 4253,(maximum two credit hours),,MUS 4254,, or,MUS 4261,. (,MUS 4220,,,MUS 4224,, and/or,MUS 4101,may be used to satisfy four hours of the major ensemble requirement.),Two semesters of,MUS 4101,are required.,3,-,MUS 4757,,,MUS 4758,,,MUS 4763,, &,MUS 4764,are offered in alternating years; please consult the department for course availability."
41,STRNG,"Music, B.M.",Strings,"1,- If credit has been earned in,ENGL 1001,and/or,MATH 1021,/,MATH 1029,, General Education Course(s) should be taken in lieu of,ENGL 1001,and/or,MATH 1021,/,MATH 1029,.,2,- Choose from the following:,MUS 4251,,,MUS 4252,,,MUS 4253,(maximum two credit hours),,MUS 4254,, or,MUS 4261,.,3,- Approved electives: a minimum of 8 hours chosen from,MUS 2131,,,MUS 3131,,,MUS 3997,,,MUS 4215,,,MUS 4253,,,MUS 4260,,,MUS 4759,,,MUED 3171,, and any 4000-level course in music history or theory other than those applied to degree requirements and any foreign language courses. Harp students should take,MUS 4774,in lieu of electives."
42,VOICE,"Music, B.M.",Voice,"1,- If credit has been earned in,ENGL 1001,and/or,MATH 1021,/,MATH 1029,, General Education Course(s) should be taken in lieu of,ENGL 1001,and/or,MATH 1021,/,MATH 1029,.,2,- Choose from the following:,MUS 4232,,,MUS 4233,,,MUS 4234,,,MUS 4235,,,MUS 4236,.,3,- French, German or Italian.,4,- Choose from:,MUS 3750,,,MUS 3997,, or,MUS 4241,.,5,-,MUS 4351,is offered in alternating years. Please consult course offerings and/or the department for course availability."
43,,"Music, B.A.",Area of Concentration,
44,,"Music, B.A.",Area of Concentration,
45,,"Music, B.A.",Area of Concentration,
46,,"Music, B.A.",Area of Concentration,Note: Undergraduate minor except (Not From) Music
