ID,Program,degree,type,concentration,credit,hours,restrictions
11,Printmaking,Printmaking Minor,Minor,,"To graduate with a  minor in printmaking , students must complete  ART 1360     and  ART 2360   , three additional credit hours of printmaking at the 2000 level,  ART 4360     and six additional credit hours of printmaking courses at the 4000 level.",120,
12,Photography,Photography Minor,Minor,,"To graduate with a minor in photography, students must complete  ART 2995   ,  ART 2996   ,  ART 3994   ,  ART 3996   ,   ART 4941   , and three credit hours from:  ART 4994   ,  ART 4996   , or  ART 4997   .",120,
13,Painting,Painting and Drawing Minor,Minor,,"To graduate with a  minor in painting and drawing , students must complete  ART 2879   ,  ART 2881   ,  ART 4880   ,  ART 4881   ,  ART 4889   ; and three credit hours from:  ART 4882   ,  ART 4884     or  ART 4886   .",120,
14,Master,"Master of Laws, LL.M.",LL.M.,,No description available,120,
15,Juris,Juris Doctor and Graduate Diploma in Comparative Law,Law,,No description available,120,
16,Estate,Estate Planning & Taxation Graduate Certificate,Certificate,,See “ LSU Law Catalog ”,120,
17,Energy,Energy Law and Policy Graduate Certificate,Certificate,,No description available,120,
18,Biomedical,"Biomedical and Veterinary Medical Sciences-Veterinary Clinical Sciences, Ph.D.",Ph.D.,,"(PVMCS) The Department of Veterinary Clinical Sciences offers a Ph.D. in Biomedical and Veterinary Medical Sciences with emphasis in clinical sciences. The graduate program of study and research will be directed and evaluated by the student’s graduate committee. This committee will be composed of at least three members of the graduate faculty. Doctoral graduate students must complete a minimum of 60 credit hours of graduate courses, a comprehensive examination, final examination, and a dissertation.  The coursework, in conjunction with research training, will provide the student with the skills needed for continuing research independent of the major professor. The coursework requirements are as follows: 4000 level courses that support general knowledge needed for research and to prepare for the above 7000 level courses are allowed if recommended by the student’s Graduate Advisory Committee (for example BIOL 4123 Immunology, BIOL 4132 Eukaryotic Molecular Genetics, OCS 4038 Scientific Writing and Collaboration, BE 4335 Tissue Engineering) Candidates for the PhD degree are required to pass a comprehensive examination. This examination occurs within 3 years of onset of program and after completion of the majority of the student’s coursework. This examination may be oral, written or both, depending on the preference of the student’s graduate committee. Students that successfully complete part of the comprehensive examination but not all of the examination may be allowed a single retake at the discretion of the student’s graduate committee. The preparation of a dissertation is an important element in the program leading to the doctoral degree. The dissertation should demonstrate capacity for research, originality of thought, and facility in organizing materials. Final acceptance of the dissertation rests with a student’s graduate committee. The dissertation must be successfully defended in a final defense and examination. A request for the final examination must be submitted to the Graduate School by the student at least three weeks prior to the proposed examination date and by the current semester deadline, if the student is a candidate for a degree. The student should visit the Graduate School the semester before planned graduation for deadlines and procedures concerning requests for final examination. The examining committee, must have copies of the dissertation at least two weeks prior to the final examination. Typically, the final examination is an oral examination following the dissertation defense. The defense takes the form of a seminar, open to attendance by any interested parties. Following the seminar, the graduate student and the examination committee will convene and discuss the dissertation, asking questions to the graduate student.",120,
19,Biomedical,"Biomedical and Veterinary Medical Sciences- Veterinary Clinical Sciences, M.S.",M.S.,,"(SVMCS) The Department of Veterinary Clinical Sciences offers an M.S.   in Biomedical and Veterinary Clinical Sciences with emphasis in clinical sciences. The graduate program of study and research are directed and evaluated by the student’s graduate committee. This committee is composed of at least three members of the graduate faculty. Master’s graduate students must complete a minimum of 30 credit hours of graduate courses, a final examination, and a thesis. The coursework requirements are as follows: 4000 level courses that support general knowledge needed for research and to prepare for the above 7000 level courses are allowed if recommended by the student’s Graduate Advisory Committee (for example BIOL 4123 Immunology, BIOL 4132 Eukaryotic Molecular Genetics, OCS 4038 Scientific Writing and Collaboration, BE 4335 Tissue Engineering) The preparation of a thesis is an important element in the program leading to the master’s degree. The master’s thesis should demonstrate capacity for research, originality of thought, and facility in organizing materials. Final acceptance of the master’s thesis rests with a student’s graduate committee. The thesis must be successfully defended in a final defense and examination. A request for the final examination must be submitted to the Graduate School by the student at least three weeks prior to the proposed examination date and by the current semester deadline, if the student is a candidate for a degree. The student should visit the Graduate School the semester before planned graduation for deadlines and procedures concerning requests for final examination. The examining committee, must have copies of the thesis at least two weeks prior to the final examination. Typically, the final examination is an oral examination following the thesis defense. The thesis defense takes the form of a seminar, open to attendance by any interested parties. Following the seminar, the graduate student and the examination committee will convene and discuss the thesis, asking questions of the graduate student.",120,
20,"Theatre,","Theatre, Ph.D.",Ph.D.,,"(PTHTR) (Specializations in Theatre History, Dramatic Literature, Theory, and Criticism) The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty such that the LSU Graduate School’s requirements for graduate committees are satisfied. The curricular requirements include: Every spring semester, students in the PhD program will submit yearly reports of their curricular, production, and scholarly work over the past year. PhD faculty will hold meetings reviewing student progress at the conclusion of each spring semester. Students will receive feedback regarding the evaluation of their progression through the program. General exams: Successful completion of general exams will involve three components: A successful oral defense of dissertation before committee members and submission of the dissertation to the Graduate School is required.",120,
21,"Theatre,","Theatre, M.F.A.",M.F.A.,,(MFATH) (Specializations in Acting; Costume Technology and Design; Properties Technology; Scenic Technology and Design). The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty such that the LSU Graduate School’s requirements for graduate committees are satisfied. The curricular requirements include: MFA (specialization in Acting) MFA (specializations in Costume Technology and Design; Properties Technology; Scenic Technology and Design),120,
22,"Textiles,","Textiles, Apparel & Merchandising, Ph.D.",Ph.D.,,"(PTAM) The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate advisory committee. The committee will include the student’s major advisor and at least three additional members of the graduate faculty, including the dean’s representative, such that the LSU Graduate School’s requirements for graduate committees are satisfied. The PhD degree is a research degree requiring a dissertation. A minimum of 80 hours of credit at the graduate level must be earned including formal coursework beyond the bachelor’s degree and a minimum of 20 hours in the formulation and execution of original research, as demonstrated by production of a dissertation. The curricular requirements include: The student must pass a general exam consisting of both a written and an oral portion exam. The student must also pass a final exam, dissertation defense.",120,
23,"Textiles,","Textiles, Apparel & Merchandising, M.S.",M.S.,,"(STAM) The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty such that the LSU Graduate School’s requirements for graduate committees are satisfied. The thesis option master’s program requires a minimum of 24 credits of approved coursework and six hours of thesis credit. The non-thesis option master’s program  requires 30 semester hours of approved coursework and six semester hours of project credit. In case of deficiencies in undergraduate preparation, additional courses will be required. The degree is a thesis/non-thesis degree requiring a thesis/special project. The curricular requirements include: at least 12 hours at the 7000 level or above for a thesis degree and at least 18 hours at the 7000 level or above for a non-thesis degree a minimum core requirement of at least six credit hours in Research Methods and Statistics The student must pass a final exam consisting of a comprehensive oral exam, typically a defense of a thesis/special project.",120,
24,Analytics,Analytics Graduate Certificate,Certificate,,"(CANLY) A Graduate Certificate in Analytics can be obtained by earning a minimum of a 3.0 average in the four analytics courses listed below. Substitution of courses may be permitted if equivalency is established by the chair of the department. The mode of delivery is through LSU Online. While there are no prerequisites to these courses, admission to the Graduate School is required, and an introductory course in statistics and information systems is recommended before enrolling in the course sequence.  To apply for the Graduate Certificate in Analytics program, visit the  Graduate School website , go to Prospective Students, select degree seeking, then Apply Online. For further information, please contact the Stephenson Department of Entrepreneurship & Information Systems at 225-578-2126 or  sdeis@lsu.edu .",120,
25,Business,"Business Administration, PhD (Information Systems & Decision Sciences)",PhD,,"The PhD program (PhD in business administration with a concentration in ISDS) is designed for full-time study and involves 60 credit hours at the graduate level. The program consists of 12 hours breadth of study in the four business disciplines: accounting, finance, marketing, and management; 12 hours of major field core courses; 9 semester hours in a minor area; 12 hours of research methodology; 6 semester hours in a supporting area; and 9 hours of dissertation studies. The breadth of study course requirement may be satisfied by prior undergraduate or graduate coursework in the four business areas. Students should plan to spend two academic years (fall and spring) completing coursework and spend the summer working on independent research projects under their advisor’s supervision. The specific departmental-level academic course plan must be approved by the student’s advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty such that the LSU Graduate School’s requirements for graduate committees are satisfied. Upon completion of the coursework, excluding breadth of study, the candidates must pass written and oral comprehensive examinations and design, implement, and complete an original dissertation under the supervision of an ISDS faculty member. Completion of the dissertation usually takes 12 to 18 months. Overall, the PhD program normally requires four years to finish. Please refer to the  departmental website  for additional information.",120,
26,"Analytics,","Analytics, M.S.",M.S.,,"(SISDS) Students enrolled in the Master of Science in Analytics (MSA) program (ISDS) learn to blend information management techniques and advanced statistical methods to distill critical business information from complex and often massive data sets. The program is designed for students with undergraduate degrees in business, mathematics, statistics, engineering, or computer science with strong quantitative skills. The MSA curriculum integrates relevant topics from statistics, operations research, information systems, and communication. The program uses a cohort–based learning model that emphasizes teamwork and presentation skills using state-of-the-art visualization techniques. Specific curricular requirements are listed below: A detailed description of the MS program can be found on the  Master of Science in Analytics website . All applicants must meet the minimum requirements for LSU, which are listed on the  Graduate School website . Preference may be given to applicants with higher GPAs and higher scores on the GMAT or GRE, and particularly to those with higher scores on the quantitative portion of the GMAT or GRE.",120,
27,"Sociology,","Sociology, Ph.D.",Ph.D.,,"(PSOCL) The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty. Two of the committee members have full graduate faculty status (designated with “M” or “7M” on the list above), as required by the LSU Graduate School. The degree requires a doctoral dissertation. Fifty-four (54) hours of credit at the graduate level must be earned including nine hours of credit for the dissertation ( SOCL 9000   ) to count toward graduation. The curricular requirements include: The student must pass a general examination following completion of required coursework consisting of written and oral assessments. The student then defends a dissertation proposal and must pass a final examination upon completion of his/her PhD dissertation. The final examination is a culmination of graduate study and consists of an oral defense of the dissertation.",120,
28,"Sociology,","Sociology, M.A.",M.A.,,"(ASOCL) The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty as required by the LSU Graduate School.  One of the committee members have full graduate faculty status (designated with “M” or “7M” on the list above), as required by the LSU Graduate School. We have thesis and non-thesis degrees requiring a thesis and empirical research paper, respectively. Thirty-six (36) hours of credit at the graduate level must be earned including a maximum of six hours of credit for the thesis or empirical paper to count toward graduation. The curricular requirements include: The student must pass a final exam consisting of a thesis or empirical research paper and an oral defense.",120,
29,Dual,Dual Degree: MSW/MPH,MSW/MPH,,"The LSU School of Social Work and the LSU Health Sciences Center SPH in New Orleans offer a dual-degree program through which a student will receive both the Master of Social Work (MSW) and a Master of Public Health (MPH) with a concentration in Behavioral and Community Health Studies. Students successfully complete the dual degree receive two separate degrees: the MSW awarded by the School of Social Work and the MPH with a concentration in Behavioral and Community Health Students awarded by LSU Health Sciences SPH. The recognition of concurrent credit as described below allows a student to complete the requirement for both degrees in three years, including summer semesters, instead of the four years that otherwise would be required.  By obtaining the dual degree, students will be equipped with the knowledge and skills necessary to promote health, prevent disease, and enhance the delivery of evidence-based health and social services in the community. Upon completion of the MSW-MPH dual-degree program, graduates will demonstrate knowledge of the breadth of each field and their interface, as well as have ability to incorporate interdisciplinary skills in public health and health-related settings. The MSW-MPH dual-degree program is designed to prepare graduates for work in a variety of interdisciplinary health and health-related settings and, for some, may provide a basis for future doctoral study. Although the two programs remain independent, the dual degree accelerates the completion of both degrees because of each school’s recognition of credit hours earned for course work completed in the MSW-MPH dual-degree students will satisfy the requirements for 60 MSW credit hours and a minimum of 45 MPH credit hours.  Students enrolled in the MSW-MPH dual-degree program will complete a minimum of 92 credit hours. Students wishing to participate in this program must meet the admission requirements for both the LSU Graduate School, School of Social Work, and the LSUHSC. Students must apply separately to all three schools, with appropriate test scores provided. Application to the LSUHSC SPH is made through the Schools of Public Health Application Service (SOPHAS), a centralized admissions system used by the Association of Schools and Programs in Public Health. Students will begin this dual degree program within the School of Social Work, with the first year would be devoted exclusively to the first-year social work requirements. The remaining years will be devoted to a combination of MSW and MPH courses, with the MPH Culminating Course in the 3rd year. The respective faculties of the SPH-BCHS program and the SSW have approved an award of  13  hours of MSW credit toward the MPH degree for courses taken in the SSW, and of  12  hours of MPH credit toward the MSW for courses taken in the SPH.   Social work students will have the option to complete a thesis.  The total number of hours for the MSW curriculum (60) would not change under the dual degree program. No web-based social work courses can be taken through the LSU MSW Online program; however, web-based social work courses that are offered during regular LSU Baton Rouge campus semesters can be taken.",120,
30,Dual,Dual Degree: JD/MSW,JD/MSW,,"The LSU Law Center and the LSU School of Social Work offer a dual degree program through which a student may receive both a Juris Doctor (J.D.) and a Master of Social Work (M.S.W.) degree. Students successfully completing the dual degree program receive two separate degrees: a J.D. awarded by the Law Center and a M.S.W. awarded by the School of Social Work. Although the two programs remain independent, the dual degree program accelerates the completion of both degrees because of each school’s recognition of credit hours earned for course work completed in the School of Social Work as elective credits toward the J.D. degree and the School of Social Work accepts 9 credit hours completed in the Law Center as elective credits toward the M.S.W. The recognition of concurrent credit allows students to earn both degrees in approximately four years of full-time study (including summers). Students wishing to participate in this program must meet the admission requirements for both the Law Center and the School of Social Work. Students must apply separately to the LSU Graduate School and the LSU Law Center, with appropriate LSAT scores provided. Students may begin the program in either the Law Center or the School of Social Work, but students must complete both the first year of the J.D. program at the Law Center and the first year of the M.S.W. program at the School of Social Work during the first two years of study. Thereafter, students may take a combination of Law and Social Work courses, provided that they meet the degree requirements of each program. Students participating in this program are required to complete a graduate thesis in the School of Social Work. Students may fulfill the Law Center’s upperclass writing requirement with the satisfactory completion of a graduate thesis on a topic with a substantial legal component. Satisfaction of the upperclass writing requirement in this manner requires advance permission of the Law Center’s Associate Dean for Academic Affairs. In addition, at least one member of the Law Center faculty must serve on the committee under whose direction the thesis is completed. Students whose theses do not involve a substantial legal component must fulfill the upperclass writing requirement in the Law Center’s prescribed manner.",120,
31,Social,"Social Work, Ph.D",Ph.D,,"(PSW) The PhD in social work is aimed at providing an advanced interdisciplinary degree that will equip graduates for important roles in policy analysis and development, research, and teaching. The period of study for the doctoral degree in social work is typically three to five years, but is not to exceed seven years. The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty such that the LSU Graduate School’s requirements for graduate committees are satisfied. The degree requires students to: The curricular requirements include: The Ph.D in Child and Family Studies (CFS) concentration is a minimum of 15 hours of designated CFS research and elective courses, in lieu of 12 hours of research cognate and interdisciplinary electives currently required of the Ph.D in Social Work degree. The CFS concentration courses include: Theories of Child Development, Theories in Family Science, Contemporary Families, and Research Methodology in Child and Family Studies among others. Successful completion of the CFS concentration requires fulfillment of all requirements of doctoral students in Social Work.",120,
32,Social,"Social Work, M.S.W.",M.S.W.,,"The MSW curriculum consists of 60 hours of graduate study, including field internship that can be completed in two calendar years of full-time study. The School offers full-time, part-time, online education, or advanced standing program options. Students with a Bachelor of Social Work may be eligible for the advanced standing program, which consists of 30-33 hours of graduate study including three required hours taken in the summer term. The first year of the program is structured to provide the knowledge, skills, and values required for all social work practice. This includes environment and field instruction. The advanced year provides instruction in advanced direct practice, advanced social policy, program evaluation, 12 hours of electives, and advanced field internship. The field education office places students in an internship in the Baton Rouge area or an agency near the student’s home that will provide a good educational experience in a supervised setting. The LSU School of Social Work’s MSW program is accredited by the Council on Social Work Education (CSWE), the only body recognized by the Council for Higher Education Accreditation to accredit social work education programs in the United States. Our MSW program meets CSWE’s curriculum and field education standards for the MSW degree. However, some states may have licensure requirements that differ from those standards. Applicants are strongly encouraged to refer to our MSW Program page and their state licensing board for more information about current licensure requirements. State licensing boards can be found by visiting the Association of Social Work Boards[DC1] [DC2] . Professional social work education has a strong tradition of interweaving theory and practice through a field internship program. In addition to classroom studies, students in the MSW program at LSU normally spend about 240 hours each semester or module in a social service agency. All placements are arranged by the field office within the school. The school has a large number of field placements in a wide variety of settings, including family and children’s services, hospitals, counseling centers, mental health agencies, community centers, legislative offices, and advocacy groups. The internship program allows students to develop their practice skills and to apply theory and knowledge in real-life settings. DEGREE REQUIREMENTS: The degree requires successful completion of  sixty hours  of credit at the graduate level, including field internship, Candidates for the MSW may complete a thesis in the semester or module they intend to graduate and must earn six hours of thesis credit. . The curricular requirements include:",120,
33,Dual,Dual Degree: JD/MPA,JD/MPA,,"Students interested are encouraged to visit the individual program site. LSU and the  Paul M. Hebert Law Center  offer several dual degree programs, allowing a student to earn both the JD/DCL and a master’s degree. Students enrolling in the dual degree programs must be admitted separately to the LSU Graduate School and the Law Center. Students should consult with the admissions office of each institution prior to enrollment. Each program has specific requirements, which can be found by visiting the website listed above. Students successfully completing the program listed above will receive two degrees, a JD/DCL awarded by LSU Paul M. Hebert Law Center and a master’s degree awarded by LSU.",120,
34,Public,"Public Administration, M.P.A.",M.P.A.,,"The MPA is a 36-hour professional degree consisting of 27 hours of core courses and nine hours of electives. The core courses include the following: Elective coursework will be selected by the student in consultation with an advisor in the MPA program. The MPA is a non-thesis program. It does require an internship (for students who are pre-service) or a practicum (for students who are in-service). Students are responsible for getting their own internships, though the department will provide information about and facilitate the selection of internship placements In addition, each student will be given a comprehensive examination in accordance with the Public Administration Capstone PADM 7901 (a capstone course that each MPA student will take during the student’s last year in the MPA program). This comprehensive examination will be evaluated by professors of the MPA program.",120,
35,"Psychology,","Psychology, Ph.D.",Ph.D.,,"(PPSYC) The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate advisory committee, and varies depending on the area of focus. The committee will include the student’s major advisor and at least two additional members of the graduate faculty such that the LSU Graduate School’s requirements for graduate committees are satisfied. The degree is a thesis degree requiring a dissertation project. Forty-eight hours of credit at the graduate level must be earned including a maximum of 12 hours of credit for the dissertation project. The curricular requirements include: Information about these and other requirements are available online.  Below are further requirements for the different program areas: Biological, Clinical, Cognitive and Brain Sciences, Industrial/Organizational, and School. These area requirements include those listed above, but address others that are area specific. Additional details about each area-specific curriculum may be found at the following  Psychology website .  A PhD in psychology from the clinical area requires at least 3 full-time academic years for graduate students while in residence that includes at least 60 credit hours at the graduate level. In addition to didactic coursework, the program requires successful completion of practicum hours, a thesis, a general exam (that includes a written and oral defense component), a dissertation, and a one-year pre-doctoral clinical internship at an APA-accredited training site (please see the Clinical Area Handbook located on the Psychology Department webpage for specific course and other program requirements). Note that successful completion of the clinical-area psychology PhD typically requires 5-6 years of training.  A PhD in psychology in the cognitive and brain sciences area requires at least 3 full-time academic years for graduate students while in residence that includes at least 60 credit hours at the graduate level. In addition to didactic coursework, the program requires successful completion of seminars, a thesis, an intermediate project, a general exam (that includes a written and oral defense component), and a dissertation, (please see the Cognitive and Brain Sciences Area Handbook located on the Psychology Department webpage for specific course and other program requirements). Satisfactory completion of the qualifying core courses (at least 1 content course and at least 2 quantitative courses) is required to be qualified for advanced doctoral study. Satisfactory completion constitutes passing the required courses with a grade of “B minus” or higher by the end of your 4th year in the program. It is recommended that as many of these classes as possible be taken during the first two years of graduate school. Each course is generally offered once a year. The I/O General Exam will consist of a written/typed exam, and an oral defense (please see the Industrial/Organizational Area Handbook located on the Psychology Department webpage for specific course and other program requirements) Satisfactory completion of the qualifying core courses, which constitutes passing the required courses with a grade of “B minus” or higher is required for advanced doctoral study. Note that the Biological Psychology area is not currently accepting students. In order to complete the PhD in Psychology with the concentration in School Psychology students are required to complete a program of study approved by a departmental advisor that conforms with the requirements of the School Psychology Graduate Student Handbook. Such a program of study will include at least 3 years of study in residence and at least 60 hours of advanced graduate study. The concentration also requires completion of the dissertation and completion of an internship of no less than 1500 hours of supervised work.  The general examination for School Psychology students is composed of a written examination covering critical topics from the required elements of the program of study and an oral examination, dissertation (please see the School Psychology Area Handbook located on the Psychology Department webpage for specific course and other program requirements) A PhD in psychology in the behavior analysis area requires at least 3 full-time academic years for graduate students while in residence that includes at least 60 credit hours at the graduate level. In addition to didactic coursework, the program requires successful completion of supervised experiential learning, a thesis, a general exam (that includes a written and oral defense component), and a dissertation (please see Behavior Analysis Area Handbook located on the Psychology Department webpage for specific course and other program requirements.",120,
36,"Psychology,","Psychology, M.A.",M.A.,,"(APSYC) The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty such that the LSU Graduate School’s requirements for graduate committees are satisfied. The degree is a thesis degree, requiring a thesis project. At least 36 hours of credit at the graduate level must be earned, including six hours of credit for the thesis project ( PSYC 8000   ). The curricular requirements include: The student must pass a final exam consisting of a written thesis document and a comprehensive oral exam (i.e., the thesis defense).",120,
37,Political,"Political Science, Ph.D.",Ph.D.,,(PPOLI) The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty such that the LSU Graduate School’s requirements for graduate committees are satisfied. The degree requires a doctoral dissertation. At least 64 hours of credit at the graduate level must be earned including a minimum of nine hours of credit for the dissertation. The curricular requirements include:,120,
