course title,Credit hours,course ID,class code,preReqs
MUTH 3350 Music Therapy Practicum III (1) - Modern Campus Catalog™,1,MUTH,3350,
MUTH 3300 Music Therapy Theory and Applications 3 (3) - Modern Campus Catalog™,3,MUTH,3300,
MUS 9005 Concerto with Orchestra (1-2) - Modern Campus Catalog™,2,MUS,9005,
MUS 9003 Doctoral Lecture Recital (1-3) - Modern Campus Catalog™,3,MUS,9003,"Does not fulfill final project requirement for DMA (,MUS 9010,)."
MUS 9002 Second Doctoral Solo Recital (1-3) - Modern Campus Catalog™,3,MUS,9002,
MUS 9001 Doctoral Solo Recital (1-3) - Modern Campus Catalog™,3,MUS,9001,
MUS 9000 Dissertation Research (1-12 per sem.) - Modern Campus Catalog™,1,MUS,,“S”/”U”grading.
MUS 8000 Thesis Research (1-12 per sem.) - Modern Campus Catalog™,1,MUS,,“S”/”U”grading.
MUS 7998 Special Topics in Music (2-3) - Modern Campus Catalog™,3,MUS,7998,
MUS 7997 Individual Projects in Music (1-3) - Modern Campus Catalog™,3,MUS,7997,"Prereq.:,consent of departmental faculty concerned and dean of the School of Music."
MUS 7929 Seminar in Choral Repertoire (3) - Modern Campus Catalog™,3,MUS,7929,Only 6 sem. hrs. applicable to the MM degree; only 12 additional sem. hrs. applicable to the DMA; maximum for MM and DMA combined is 18 sem. hrs .
MUS 7928 Seminar in Choral Repertoire (3) - Modern Campus Catalog™,3,MUS,7928,Only 6 sem. hrs. applicable to the MM degree; only 12 additional sem. hrs. applicable to the DMA; maximum for MM and DMA combined is 18 sem. hrs .
MUS 7921 Seminar in Music Theory (3) - Modern Campus Catalog™,3,MUS,7921,"Prereq.:,MUS 3703,or successful passing of the Music Theory Diagnostic Examination.,Maximum for MM and PhD combined is 18 sem. hrs. of credit."
MUS 7906 Seminar in Music Education (2-6) - Modern Campus Catalog™,6,MUS,7906,Only 6 sem. hrs. applicable to the MMEd degree; only 12 additional sem. hrs. applicable to the PhD; maximum for MMEd and PhD combined is 18 sem. hrs.
MUS 7905 Seminar in Music Education (2-6) - Modern Campus Catalog™,6,MUS,7905,Only 6 sem. hrs. applicable to the MMEd degree; only 12 additional sem. hrs. applicable to the PhD; maximum for MMEd and PhD combined is 18 sem. hrs.
MUS 7904 Seminar in Music History (2-3) - Modern Campus Catalog™,3,MUS,7904,"Prereq.:,MUS 3710,or successful passing of the Music History Diagnostic Examination.,Only 6 sem. hrs. applicable to the MM degree; only 12 additional sem. hrs. applicable to the PhD; maximum for MM and PhD combined is 18 sem. hrs."
MUS 7903 Seminar in Music History (2-3) - Modern Campus Catalog™,3,MUS,7903,"Prereq.:,MUS 3710,or successful passing of the Music History Diagnostic Examination.,Only 6 sem. hrs. applicable to the MM degree; only 12 additional sem. hrs. applicable to the PhD; maximum for MM and PhD combined is 18 sem. hrs."
MUS 7810 Cognition and Effective Music Learning (2) - Modern Campus Catalog™,2,MUS,7810,
MUS 7801 Psychology of Music (3) - Modern Campus Catalog™,3,MUS,7801,
MUS 7800 Introduction to Research in Music (3) - Modern Campus Catalog™,3,MUS,7800,Required of all doctoral students; recommended for master’s students who will write theses.
MUS 7799 Advanced Coaching in Applied Music (2) - Modern Campus Catalog™,2,MUS,7799,Max. amount of credit applicable toward a degree is 4 sem. hrs.
MUS 7798 Master’s Recital (1-3) - Modern Campus Catalog™,3,MUS,7798,"Prereq.:,MUS 4797,or equivalent."
MUS 7797 Master’s Pedagogy Project (2) - Modern Campus Catalog™,2,MUS,7797,Pass-fail grading.
"MUS 7780 Introduction to Musicology, Music Theory, and Ethnomusicology (3) - Modern Campus Catalog™",3,MUS,7780,Required of all master’s and doctoral students in musicology and music theory.
MUS 7778 Advanced Keyboard Literature II (3) - Modern Campus Catalog™,3,MUS,7778,"Prereq.:,MUS 4757,,,MUS 4758,or equivalent."
MUS 7777 Advanced Keyboard Literature I (3) - Modern Campus Catalog™,3,MUS,7777,"Prereq.:,MUS 4757,,,MUS 4758,or equivalent."
MUS 7776 Advanced Orchestral Conducting (3) - Modern Campus Catalog™,3,MUS,7776,"Prereq.:,previous study of conducting."
MUS 7775 Advanced Orchestral Conducting (3) - Modern Campus Catalog™,3,MUS,7775,"Prereq.:,previous study of conducting."
MUS 7774 Advanced Band Conducting (3) - Modern Campus Catalog™,3,MUS,7774,"Prereq.:,previous study of conducting."
MUS 7773 Advanced Band Conducting (3) - Modern Campus Catalog™,3,MUS,7773,"Prereq.:,previous study of conducting."
MUS 7772 Advanced Choral Conducting (3) - Modern Campus Catalog™,3,MUS,7772,"Prereq.:,previous study of conducting."
MUS 7771 Advanced Choral Conducting (3) - Modern Campus Catalog™,3,MUS,7771,"Prereq.:,previous study of conducting."
MUS 7768 Qualitative Research in Music (3) - Modern Campus Catalog™,3,MUS,7768,
MUS 7767 Quantitative Research in Music (3) - Modern Campus Catalog™,3,MUS,7767,"Prereq.:,ELRC 4006,and,MUS 7905,.,Primarily for doctoral students in music."
MUS 7766 Current Issues in Music Education (3) - Modern Campus Catalog™,3,MUS,7766,
MUS 7765 Philosophical Bases for Music Education (3) - Modern Campus Catalog™,3,MUS,7765,
MUS 7764 Comparative Methods in Music Education (3) - Modern Campus Catalog™,3,MUS,7764,
MUS 7762 Measurement and Evaluation in Music (3) - Modern Campus Catalog™,3,MUS,7762,
MUS 7757 American Music (3) - Modern Campus Catalog™,3,MUS,7757,"Prereq.:,MUS 3710,or successful passing of the Music History Diagnostic Examination."
MUS 7756 Music in the Modern Era (3) - Modern Campus Catalog™,3,MUS,7756,"Prereq.:,MUS 3710,or successful passing of the Music History Diagnostic Examination."
MUS 7755 Music in the Romantic Era (3) - Modern Campus Catalog™,3,MUS,7755,"Prereq.:,MUS 3710,or successful passing of the Music History Diagnostic Examination."
MUS 7754 Music in the Classical Era (3) - Modern Campus Catalog™,3,MUS,7754,"Prereq.:,MUS 3710,or successful passing of the Music History Diagnostic Examination."
MUS 7753 Music in the Baroque Era (3) - Modern Campus Catalog™,3,MUS,7753,"Prereq.:,MUS 3710,or successful passing of the Music History Diagnostic Examination."
MUS 7752 Music of the Renaissance (3) - Modern Campus Catalog™,3,MUS,7752,"Prereq.:,MUS 3710,or successful passing of the Music History Diagnostic Examination."
MUS 7751 Ancient and Medieval Music (3) - Modern Campus Catalog™,3,MUS,7751,"Prereq.:,MUS 3710,or successful passing of the Music History Diagnostic Examination."
MUS 7750 Special Studies in Piano Literature (3) - Modern Campus Catalog™,3,MUS,7750,Total amount of credit applicable to MM degree limited by student’s advisory committee.
MUS 7749 Special Studies in Piano Literature (3) - Modern Campus Catalog™,3,MUS,7749,Total amount of credit applicable to MM degree limited by student’s advisory committee.
MUS 7747 History of Electroacoustic Music (3) - Modern Campus Catalog™,3,MUS,7747,
MUS 7746 Graduate Seminar in Experimental Music and Digital Media (3) - Modern Campus Catalog™,3,MUS,7746,"Prereq.:,MUS 7745,or consent of instructor."
MUS 7745 Advanced Computer Music (3) - Modern Campus Catalog™,3,MUS,7745,"Prereq.:,Permission of department.,May be taken for a maximum of 12 hours when topics vary."
MUS 7742 History of Music Theory II (3) - Modern Campus Catalog™,3,MUS,7742,"Prereq.:,MUS 3703,and,MUS 3710,or successful passing of the Music Theory and Music History Diagnostic Examinations."
MUS 7741 History of Music Theory I (3) - Modern Campus Catalog™,3,MUS,7741,"Prereq.:,MUS 3703,and,MUS 3710,or successful passing of the Music Theory and Music History Diagnostic Examinations."
MUS 7726 Survey of Symphonic Literature II (2) - Modern Campus Catalog™,2,MUS,7726,
MUS 7725 Survey of Symphonic Literature I (2) - Modern Campus Catalog™,2,MUS,7725,
MUS 7724 Survey of Wind Literature II (2) - Modern Campus Catalog™,2,MUS,7724,
MUS 7723 Survey of Wind Literature I (2) - Modern Campus Catalog™,2,MUS,7723,
MUS 7722 Survey of Choral Literature II (3) - Modern Campus Catalog™,3,MUS,7722,
MUS 7721 Survey of Choral Literature I (3) - Modern Campus Catalog™,3,MUS,7721,
MUS 7711 Seminar in Post-Tonal Musical Analysis (3) - Modern Campus Catalog™,3,MUS,7711,"Prereq.:,MUS 3703,or successful passing of the Music Theory Diagnostic Examination.,May be taken for a max. of 6 hrs. of credit when topics vary."
MUS 7710 Theory and Analysis of Tonal Music (3) - Modern Campus Catalog™,3,MUS,7710,"Prereq.:,MUS 3703,or successful passing of the Music Theory Diagnostic Examination."
MUS 7705 Advanced Linear Analysis (3) - Modern Campus Catalog™,3,MUS,7705,"Prereq.:,MUS 7704,or equivalent.,Required of all doctoral students in music theory."
MUS 7704 Studies in Linear Analysis (3) - Modern Campus Catalog™,3,MUS,7704,"Prereq.:,MUS 3703,or successful passing of the Music Theory Diagnostic Examination."
MUS 7703 Contemporary Musical Practices (3) - Modern Campus Catalog™,3,MUS,7703,6 sem. hrs. applicable to the MM degree when topics vary; 6 additional sem. hrs. applicable to the DMA degree when topics vary.
MUS 7701 Pedagogy of Music Theory (3) - Modern Campus Catalog™,3,MUS,7701,"Prereq.:,MUS 3703,or successful passing of the Music Theory Diagnostic Examination."
MUS 7700 Survey of Analytical Techniques (3) - Modern Campus Catalog™,3,MUS,7700,"Prereq.:,MUS 3703,or passing of the Music Theory Diagnostic Examination."
MUS 7600 Sources of Music Study & Research (3) - Modern Campus Catalog™,3,MUS,7600,"Also offered as,LIS 7810,."
MUS 7570 College Teaching in Music (3) - Modern Campus Catalog™,3,MUS,7570,
MUS 7522 Vocal Accompanying (2) - Modern Campus Catalog™,2,MUS,7522,
MUS 7521 Instrumental Accompanying (2) - Modern Campus Catalog™,2,MUS,7521,
MUS 7502 Piano Pedagogy and Literature II (2) - Modern Campus Catalog™,2,MUS,7502,"Prereq.:,MUS 4763,and,MUS 4764,; or equivalent."
MUS 7501 Piano Pedagogy and Literature I (2) - Modern Campus Catalog™,2,MUS,7501,"Prereq.:,MUS 4763,and,MUS 4764,or equivalent."
MUS 7500 Advanced Teaching Practicum (1-2) - Modern Campus Catalog™,2,MUS,7500,"Prereq.:,MUS 4769,and,MUS 4770,or equivalent.,A total of 3 sem. hrs. is applicable to the MM degree."
MUS 7272 Comparative Vocal Pedagogy (2) - Modern Campus Catalog™,2,MUS,7272,"Prereq.:,MUS 7170,or equivalent."
MUS 7271 Principles of Voice Production (3) - Modern Campus Catalog™,3,MUS,7271,"Prereq.:,COMD 4250,and,COMD 4153,."
MUS 7270 Historical Perspectives of Voice (3) - Modern Campus Catalog™,3,MUS,7270,
MUS 7222 Solo Literature for the Voice (3) - Modern Campus Catalog™,3,MUS,7222,"Prereq.:,MUS 4351,and,MUS 4352,or equivalent."
MUS 7221 Solo Literature for the Voice (3) - Modern Campus Catalog™,3,MUS,7221,"Prereq.:,MUS 4351,and,MUS 4352,or equivalent."
MUS 7176 Jazz Pedagogy (3) - Modern Campus Catalog™,3,MUS,7176,
MUS 7175 Percussion Instrument Pedagogy (2) - Modern Campus Catalog™,2,MUS,7175,
MUS 7174 Brass Instrument Pedagogy (2) - Modern Campus Catalog™,2,MUS,7174,
MUS 7173 Woodwind Instrument Pedagogy (2) - Modern Campus Catalog™,2,MUS,7173,
MUS 7172 Stringed Instrument Pedagogy (2) - Modern Campus Catalog™,2,MUS,7172,
MUS 7170 Advanced Vocal Pedagogy (2) - Modern Campus Catalog™,2,MUS,7170,
MUS 7160 Survey of Jazz Styles (3) - Modern Campus Catalog™,3,MUS,7160,
MUS 7130 Seminar in Percussion Literature (2) - Modern Campus Catalog™,2,MUS,7130,
MUS 7128 Seminar in Brass Literature (3) - Modern Campus Catalog™,3,MUS,7128,
MUS 7127 Seminar in Woodwind Literature II (2) - Modern Campus Catalog™,2,MUS,7127,
MUS 7126 Seminar in Woodwind Literature I (2) - Modern Campus Catalog™,2,MUS,7126,
MUS 7124 Seminar in String Literature (2) - Modern Campus Catalog™,2,MUS,7124,
MUS 7020 Advanced Italian Diction for Singers (1) - Modern Campus Catalog™,1,MUS,7020,1 hr. lecture; 1 hr. lab.
MUS 7019 Advanced French Diction for Singers (1) - Modern Campus Catalog™,1,MUS,7019,1 hr. lecture; 1 hr. lab.
MUS 7018 Advanced German Diction for Singers (1) - Modern Campus Catalog™,1,MUS,7018,1 hr. lecture; 1 hr. lab.
MUS 7011 Keyboard Skills for Pianists (1) - Modern Campus Catalog™,1,MUS,7011,
MUS 4901 Basic Techniques of Audio Recording (3) - Modern Campus Catalog™,3,MUS,4901,
MUS 4799 Coaching in Applied Music (2) - Modern Campus Catalog™,2,MUS,4799,Open to music students with the recommendation of the appropriate applied music faculty. Max. amount of credit applicable toward a degree is 6 sem. hrs.
MUS 4798 Senior Composition Recital (1) - Modern Campus Catalog™,1,MUS,4798,Pass-fail grading.
MUS 4797 Senior Recital (1) - Modern Campus Catalog™,1,MUS,4797,
MUS 4774 Harp Pedagogy (2) - Modern Campus Catalog™,2,MUS,4774,Required of all harp majors.
MUS 4773 Orchestral Repertoire for Harp (1) - Modern Campus Catalog™,1,MUS,4773,Required of all harp majors.
MUS 4772 Harp Technology and Maintenance (2) - Modern Campus Catalog™,2,MUS,4772,Required of all harp majors.
MUS 4770 Supervised Studio Instruction (2) - Modern Campus Catalog™,2,MUS,4770,
MUS 4769 Supervised Studio Instruction (2) - Modern Campus Catalog™,2,MUS,4769,
MUTH 3250 Music Therapy Practicum II (1) - Modern Campus Catalog™,1,MUTH,3250,
MUTH 3150 Music Therapy Practicum I (1) - Modern Campus Catalog™,1,MUTH,3150,
MUTH 3100 Music Therapy Research Methods (2) - Modern Campus Catalog™,2,MUTH,3100,
MUTH 2200 Clinical Musicianship Skills and Applications (2) - Modern Campus Catalog™,2,MUTH,2200,
MUTH 2100 Music Therapy Theory and Applications 1 (2) - Modern Campus Catalog™,2,MUTH,2100,
MUTH 2000 Assessment and Treatment in Music Therapy (3) - Modern Campus Catalog™,3,MUTH,2000,
MUTH 1000 The Profession of Music Therapy (3) - Modern Campus Catalog™,3,MUTH,1000,
"MUED 3630 Student Teaching in Music (3, 9) - Modern Campus Catalog™",9,MUED,3630,"Prereq.:,see “,Requirements for Student Teaching,” in the,School of Music,section of this catalog.,Pass-fail grading."
MUED 3171 Principles of Teaching Secondary School Music (3) - Modern Campus Catalog™,3,MUED,3171,"Prereq.:,MUED 1000,and,MUED 2045,."
MUED 3170 Principles of Teaching Elementary School Music (3) - Modern Campus Catalog™,3,MUED,3170,"Prereq.:,MUED 1000,and,MUED 2045,."
MUED 2045 Teaching Music in Diverse Settings (3) - Modern Campus Catalog™,3,MUED,2045,"Prereq.:,MUED 1000,.,Credit will not be given for both this course and,EDCI 2045,. Site-based teaching practica.,2 hrs. lecture; 2 hr. teaching practicum each week."
MUED 1700 Orientation to Music Education (1) - Modern Campus Catalog™,1,MUED,1700,
MUED 1000 Foundations of Music Education (3) - Modern Campus Catalog™,3,MUED,1000,"Credit will not be given for both this course and,EDCI 1000,. Course is for music majors only.,2 hrs. lecture; 1 hr. lab."
MUS 2154 Secondary Jazz Study (2-3) - Modern Campus Catalog™,3,MUS,2154,
MUS 2152 Secondary Guitar (2-3) - Modern Campus Catalog™,3,MUS,2152,
MUS 2151 Secondary Composition (2-3) - Modern Campus Catalog™,3,MUS,2151,
MUS 2149 Secondary Percussion (2-3) - Modern Campus Catalog™,3,MUS,2149,
MUS 2148 Secondary Tuba (2-3) - Modern Campus Catalog™,3,MUS,2148,
MUS 2147 Secondary Trombone (2-3) - Modern Campus Catalog™,3,MUS,2147,
MUS 2146 Secondary Euphonium (2-3) - Modern Campus Catalog™,3,MUS,2146,
MUS 2145 Secondary French Horn (2-3) - Modern Campus Catalog™,3,MUS,2145,
MUS 2144 Secondary Trumpet (2-3) - Modern Campus Catalog™,3,MUS,2144,
MUS 2143 Secondary Bassoon (2-3) - Modern Campus Catalog™,3,MUS,2143,
MUS 2142 Secondary Saxophone (2-3) - Modern Campus Catalog™,3,MUS,2142,
MUS 2141 Secondary Clarinet (2-3) - Modern Campus Catalog™,3,MUS,2141,
MUS 2140 Secondary Oboe (2-3) - Modern Campus Catalog™,3,MUS,2140,
MUS 2139 Secondary Flute (2-3) - Modern Campus Catalog™,3,MUS,2139,
MUS 2138 Secondary String Bass (2-3) - Modern Campus Catalog™,3,MUS,2138,
MUS 2137 Secondary Cello (2-3) - Modern Campus Catalog™,3,MUS,2137,
MUS 2136 Secondary Viola (2-3) - Modern Campus Catalog™,3,MUS,2136,
MUS 2135 Secondary Violin (2-3) - Modern Campus Catalog™,3,MUS,2135,
MUS 2134 Secondary Harp (2-3) - Modern Campus Catalog™,3,MUS,2134,
MUS 2133 Secondary Organ (2-3) - Modern Campus Catalog™,3,MUS,2133,
MUS 2131 Secondary Piano (2-3) - Modern Campus Catalog™,3,MUS,2131,
MUS 2130 Secondary Voice (2-3) - Modern Campus Catalog™,3,MUS,2130,
MUS 3154 Primary Jazz (2-3) - Modern Campus Catalog™,3,MUS,3154,
MUS 3153 Primary Electroacoustic Composition (2-3) - Modern Campus Catalog™,3,MUS,3153,
MUS 3152 Primary Guitar (2-3) - Modern Campus Catalog™,3,MUS,3152,
MUS 3151 Primary Composition (2-3) - Modern Campus Catalog™,3,MUS,3151,
MUS 3149 Primary Percussion (2-3) - Modern Campus Catalog™,3,MUS,3149,
MUS 3148 Primary Tuba (2-3) - Modern Campus Catalog™,3,MUS,3148,
MUS 3147 Primary Trombone (2-3) - Modern Campus Catalog™,3,MUS,3147,
MUS 3146 Primary Euphonium (2-3) - Modern Campus Catalog™,3,MUS,3146,
MUS 3145 Primary French Horn (2-3) - Modern Campus Catalog™,3,MUS,3145,
MUS 3144 Primary Trumpet (2-3) - Modern Campus Catalog™,3,MUS,3144,
MUS 3143 Primary Bassoon (2-3) - Modern Campus Catalog™,3,MUS,3143,
MUS 3142 Primary Saxophone (2-3) - Modern Campus Catalog™,3,MUS,3142,
MUS 3141 Primary Clarinet (2-3) - Modern Campus Catalog™,3,MUS,3141,
MUS 3140 Primary Oboe (2-3) - Modern Campus Catalog™,3,MUS,3140,
MUS 3139 Primary Flute (2-3) - Modern Campus Catalog™,3,MUS,3139,
MUS 3138 Primary String Bass (2-3) - Modern Campus Catalog™,3,MUS,3138,
MUS 3137 Primary Cello (2-3) - Modern Campus Catalog™,3,MUS,3137,
MUS 3136 Primary Viola (2-3) - Modern Campus Catalog™,3,MUS,3136,
MUS 3135 Primary Violin (2-3) - Modern Campus Catalog™,3,MUS,3135,
MUS 3134 Primary Harp (2-3) - Modern Campus Catalog™,3,MUS,3134,
MUS 3133 Primary Organ (2-3) - Modern Campus Catalog™,3,MUS,3133,
MUS 3131 Primary Piano (2-3) - Modern Campus Catalog™,3,MUS,3131,
MUS 3130 Primary Voice (2-3) - Modern Campus Catalog™,3,MUS,3130,
MUS 7055 Graduate Collaborative Keyboard (2-6) - Modern Campus Catalog™,6,MUS,7055,
MUS 7054 Graduate Jazz Study (2-6) - Modern Campus Catalog™,6,MUS,7054,
MUS 7053 Graduate Electroacoustic Composition (2-6) - Modern Campus Catalog™,6,MUS,7053,
MUS 7051 Graduate Composition (2-6) - Modern Campus Catalog™,6,MUS,7051,
MUS 7049 Graduate Percussion (2-6) - Modern Campus Catalog™,6,MUS,7049,
MUS 7048 Graduate Tuba (2-6) - Modern Campus Catalog™,6,MUS,7048,
MUS 7047 Graduate Trombone (2-6) - Modern Campus Catalog™,6,MUS,7047,
MUS 7046 Graduate Euphonium (2-6) - Modern Campus Catalog™,6,MUS,7046,
MUS 7045 Graduate French Horn (2-6) - Modern Campus Catalog™,6,MUS,7045,
MUS 7044 Graduate Trumpet (2-6) - Modern Campus Catalog™,6,MUS,7044,
MUS 7043 Graduate Bassoon (2-6) - Modern Campus Catalog™,6,MUS,7043,
MUS 7042 Graduate Saxophone (2-6) - Modern Campus Catalog™,6,MUS,7042,
MUS 7041 Graduate Clarinet (2-6) - Modern Campus Catalog™,6,MUS,7041,
MUS 7040 Graduate Oboe (2-6) - Modern Campus Catalog™,6,MUS,7040,
MUS 7039 Graduate Flute (2-6) - Modern Campus Catalog™,6,MUS,7039,
MUS 7038 Graduate String Bass (2-6) - Modern Campus Catalog™,6,MUS,7038,
MUS 7037 Graduate Cello (2-6) - Modern Campus Catalog™,6,MUS,7037,
MUS 7036 Graduate Viola (2-6) - Modern Campus Catalog™,6,MUS,7036,
MUS 7035 Graduate Violin (2-6) - Modern Campus Catalog™,6,MUS,7035,
MUS 7034 Graduate Harp (2-6) - Modern Campus Catalog™,6,MUS,7034,
MUS 7033 Graduate Organ (2-6) - Modern Campus Catalog™,6,MUS,7033,
MUS 7031 Graduate Piano (2-6) - Modern Campus Catalog™,6,MUS,7031,
MUS 7030 Graduate Voice (2-6) - Modern Campus Catalog™,6,MUS,7030,
MUS 9937 Seminar in Literature and Style in Performance: Percussion (3) - Modern Campus Catalog™,3,MUS,9937,
